epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.23895,1.8437,2.95313,1.89424,0.00758,0.93333,0.04656,0.01793,2.23074,3.18256,2.40099,3e-05,3e-05,0.09703
2,7.99388,1.49966,2.64971,1.60674,0.00608,1,0.24432,0.06856,1.88384,3.30301,2.12646,6.99733e-05,6.99733e-05,0.09307
3,11.6754,1.38475,2.16739,1.46938,0.00441,0.93333,0.52621,0.24352,2.19316,3.08764,2.03388,0.000109832,0.000109832,0.0891098
4,15.3993,1.42919,1.93,1.50155,0.00339,0.8,0.36654,0.09269,2.74898,3.08094,2.47488,0.000149485,0.000149485,0.0851495
5,19.0013,1.39455,1.73165,1.50089,0.0039,0.86667,0.45025,0.10189,2.82627,2.91167,2.49569,0.000188842,0.000188842,0.0811888
6,22.5926,1.44901,1.55511,1.46818,0.56756,0.4,0.41002,0.07965,2.70928,2.87692,2.49955,0.000227812,0.000227812,0.0772278
7,26.1564,1.53505,1.51212,1.54921,1,0.11775,0.34026,0.11538,2.48752,2.8025,2.37657,0.000266307,0.000266307,0.0732663
8,29.7326,1.43235,1.34246,1.43752,1,0.12956,0.41774,0.19061,2.12209,2.59741,2.03771,0.000304239,0.000304239,0.0693042
9,33.2761,1.38981,1.33582,1.44422,1,0.15183,0.71726,0.34452,1.7556,2.3821,1.69524,0.000341521,0.000341521,0.0653415
10,36.8562,1.36414,1.34052,1.41339,0.82213,0.31093,0.71665,0.2924,1.87251,2.25864,1.64228,0.000378068,0.000378068,0.0613781
11,40.3887,1.4882,1.39339,1.47788,1,0.50614,0.91579,0.44986,1.69889,1.95561,1.44576,0.000413798,0.000413798,0.0574138
12,43.9346,1.42053,1.22373,1.47337,0.9802,0.73333,0.94281,0.52745,1.53787,1.64853,1.34468,0.00044863,0.00044863,0.0534486
13,47.5009,1.37034,1.20542,1.41698,1,0.80916,0.9508,0.4438,1.82204,1.34847,1.60227,0.000482485,0.000482485,0.0494825
14,50.9612,1.40889,1.18935,1.49657,0.96224,0.86667,0.98033,0.44597,1.84354,1.20854,1.63879,0.000515287,0.000515287,0.0455153
15,54.5026,1.32046,1.18992,1.45453,1,0.9785,0.995,0.4124,1.91418,1.14426,1.75532,0.000546964,0.000546964,0.041547
16,58.0317,1.40297,1.13883,1.46434,0.9252,1,0.99125,0.44694,1.83003,1.05511,1.69194,0.000577444,0.000577444,0.0375774
17,61.6158,1.27393,0.98552,1.32404,0.92973,1,0.99125,0.49915,1.68888,1.00637,1.56736,0.00060666,0.00060666,0.0336067
18,65.0693,1.28379,1.06327,1.40365,0.82913,1,0.92233,0.56838,1.39399,0.93177,1.32032,0.00063455,0.00063455,0.0296345
19,68.6262,1.3358,1.06909,1.43132,0.80789,0.93333,0.93179,0.58237,1.41294,0.98972,1.32617,0.000661051,0.000661051,0.0256611
20,72.1789,1.39684,1.12515,1.37249,0.74421,0.93333,0.92865,0.56874,1.43063,1.14186,1.36418,0.000686107,0.000686107,0.0216861
21,75.7597,1.40258,1.16793,1.45662,0.8569,0.79853,0.92245,0.60293,1.28965,1.0825,1.31607,0.000709665,0.000709665,0.0177097
22,79.3011,1.32486,1.06346,1.40785,0.85658,0.86667,0.93369,0.59732,1.22781,1.05419,1.23637,0.000731676,0.000731676,0.0137317
23,82.7553,1.3026,1.11024,1.37855,0.97161,0.86667,0.9508,0.63036,1.19513,1.03851,1.18547,0.000752094,0.000752094,0.00975209
24,86.2302,1.2523,1.03273,1.33188,0.93212,0.9164,0.98033,0.61487,1.22669,1.14088,1.2007,0.000770879,0.000770879,0.00577088
25,89.7415,1.3348,1.1117,1.40757,0.93326,1,0.99125,0.56925,1.33745,1.2256,1.26265,0.000787994,0.000787994,0.00178799
26,93.1677,1.21341,1.05112,1.32822,0.95387,1,0.995,0.53166,1.52956,1.44105,1.48088,0.000780007,0.000780007,0.000780007
27,96.7223,1.35769,1.10481,1.37183,0.95344,1,0.995,0.53699,1.48532,1.39606,1.51763,0.000763637,0.000763637,0.000763637
28,100.247,1.31205,1.07456,1.33907,0.98931,1,0.995,0.5799,1.35625,1.28074,1.38017,0.000746868,0.000746868,0.000746868
29,103.833,1.28069,1.11297,1.34484,0.99296,1,0.995,0.60264,1.24886,1.06548,1.31015,0.000729725,0.000729725,0.000729725
30,107.346,1.2977,1.0259,1.32599,0.91725,0.93333,0.94979,0.59232,1.23586,1.01461,1.25461,0.000712237,0.000712237,0.000712237
31,110.793,1.34403,1.0694,1.38644,0.92791,0.93333,0.97567,0.57047,1.33157,0.99317,1.27396,0.000694428,0.000694428,0.000694428
32,114.287,1.23966,1.03663,1.32527,0.99387,1,0.995,0.60051,1.29037,0.95732,1.27558,0.000676328,0.000676328,0.000676328
33,117.747,1.30165,1.10351,1.38472,0.99186,1,0.995,0.61391,1.22328,0.94664,1.27489,0.000657963,0.000657963,0.000657963
34,121.334,1.31529,1.09528,1.37654,0.88015,1,0.97471,0.60316,1.16862,1.03576,1.28525,0.000639363,0.000639363,0.000639363
35,124.842,1.29172,0.96183,1.36275,0.88682,0.93333,0.95104,0.60906,1.14623,1.23983,1.25706,0.000620555,0.000620555,0.000620555
36,128.3,1.23309,0.99286,1.33919,0.819,1,0.93323,0.5591,1.1215,1.30698,1.20881,0.00060157,0.00060157,0.00060157
37,131.89,1.33939,1.14749,1.44027,0.83016,1,0.93799,0.56246,1.12421,1.48558,1.19093,0.000582435,0.000582435,0.000582435
38,135.359,1.19558,0.99724,1.32577,0.82873,1,0.95167,0.52455,1.25142,1.4369,1.24656,0.000563181,0.000563181,0.000563181
39,138.825,1.26819,1.03519,1.41314,0.87561,1,0.94981,0.47877,1.35488,1.21167,1.29465,0.000543837,0.000543837,0.000543837
40,142.241,1.201,0.96858,1.30414,0.99252,1,0.995,0.46982,1.47281,1.14585,1.33052,0.000524434,0.000524434,0.000524434
41,145.718,1.15858,0.96279,1.28389,0.99087,1,0.995,0.47738,1.68633,1.06541,1.43443,0.000505,0.000505,0.000505
42,149.188,1.24743,0.99962,1.33402,0.99187,1,0.995,0.44416,1.77748,0.99555,1.50057,0.000485566,0.000485566,0.000485566
43,152.632,1.26837,0.91425,1.31665,0.92551,0.93333,0.9365,0.47709,1.7156,0.92287,1.4611,0.000466163,0.000466163,0.000466163
